time_s,load_MW,measured_frequency_Hz,model_frequency_Hz,measured_electrical_power_MW,model_electrical_power_MW,measured_gate_pu,model_gate_pu,measured_flow_m3s,model_flow_m3s,measured_penstock_inlet_Pa,measured_penstock_outlet_Pa,frequency_residual_Hz,power_residual_MW
32.65,75.02209130013235,49.999090907590755,49.989856723127794,75.02803623037333,75.00687190326057,0.5377954630353371,0.5374587504892078,22.104433888985884,22.075539285467006,3.7395801941918805e6,3.7355336193910916e6,0.009234184462961537,0.021164327112757064
32.7,75.01689879505372,50.00051282820898,49.98818772776319,74.99175298630254,74.99917639443515,0.5381029590895197,0.5375525693410527,22.10490671095354,22.079551585625776,3.7395953452775893e6,3.7356422468936676e6,0.012325100445792714,-0.007423408132609666
32.75,75.00850335544106,50.000041208037885,49.98663477403076,74.981074848899,74.98845324350187,0.5380865548339271,0.5376447116388239,22.11020818753242,22.083515028164854,3.7396199373871987e6,3.735750360660086e6,0.01340643400712338,-0.007378394602866933
32.8,74.99720304221569,50.00246563738297,49.985210655556926,75.02225844100633,74.97501985285452,0.5383543281504897,0.5377349777911109,22.118310411237005,22.08742359237481,3.7396681124303523e6,3.7358522027456877e6,0.017254981826042126,0.04723858815181359
32.85,74.98354250507869,49.99902931578445,49.98392691576878,74.98345353014776,74.9594381691859,0.5379927522984644,0.5378231455247362,22.113896113716397,22.091270650574025,3.7397144169867504e6,3.7359803019146835e6,0.01510240001567098,0.024015360961854526
32.9,74.96828299212358,50.00152670579577,49.98279110231517,74.95459352172803,74.9424805618912,0.5382813794953626,0.5379089798963237,22.111416953180427,22.095048820287776,3.739740849615816e6,3.736106064776267e6,0.018735603480600105,0.01211295983682703
32.95,74.95235634658344,50.002322451473866,49.98180690383484,74.9665422812875,74.92508403804706,0.5382107151927378,0.5379922453182202,22.119164403377628,22.09875013453549,3.7397696755527304e6,3.7362435648090914e6,0.020515547639028853,0.04145824324044156
33.0,74.9368060375518,49.99980084065802,49.98097347154919,74.92947891637753,74.90829029211007,0.5382860436935523,0.5380727190666743,22.119401050963102,22.102366310452933,3.739810520634093e6,3.7363956086686095e6,0.018827369108826986,0.021188624267466594
33.05,74.9227191786777,49.995418467672195,49.9802851025256,74.9222035830673,74.89317730413548,0.5384835947604264,0.5381501974859229,22.123580966953185,22.10588892153163,3.739856382439872e6,3.7365598083536946e6,0.015133365146596134,0.029026278931823413
33.1,74.91115412761391,49.99877441047602,49.979730764923744,74.94434705781282,74.880786291757,0.5382625224462334,0.5382245110438062,22.12415888838044,22.109309704013988,3.739946074503382e6,3.7367175167465373e6,0.019043645552272892,0.06356076605581507
33.15,74.9030685854446,49.999183348757626,49.97929497852569,74.91378803960563,74.87205119257352,0.5388311971990901,0.5382955352034889,22.128675650376024,22.112620970362038,3.7399877365743495e6,3.7369217301482996e6,0.019888370231939234,0.04173684703211222
33.2,74.89925310674752,49.99467897496837,49.97895823132674,74.85048843104089,74.86773285159407,0.5386183226214021,0.5383631991235756,22.123852149605046,22.115816031048176,3.740107153373414e6,3.7370666670642826e6,0.01572074364163001,-0.017244420553183204
33.25,74.90027458751027,49.99439792067906,49.97869740486549,74.89583230563794,74.86836318301025,0.5386319233278979,0.53842748866407,22.129170956552272,22.11888930944203,3.7401038965629307e6,3.737244866722778e6,0.015700515813570348,0.027469122627692855
33.3,74.90643364278418,49.99758180846481,49.978487454153026,74.88561364236723,74.8742050810247,0.5385408365726646,0.5384884539610815,22.127943512716307,22.12183687107812,3.740106050255797e6,3.737428774128986e6,0.019094354311782524,0.01140856134253454
33.35,74.91773886296643,49.99417696273858,49.978302722425845,74.89868333110522,74.88522864345968,0.5383239839965154,0.5385462107961281,22.130618266247485,22.124656639388316,3.740198467882595e6,3.737633755775543e6,0.015874240312733434,0.013454687645534591
33.4,74.93389980944319,49.99814630442185,49.97811839270731,74.94571900710667,74.9011063260724,0.5385974574583117,0.5386009285555401,22.13366802439962,22.127348528556947,3.740242526824664e6,3.7377353361299364e6,0.020027911714542768,0.0446126810342804
33.45,74.9543393535106,49.99623158428395,49.9779108110562,74.96291749207879,74.92122574222786,0.538577241637036,0.5386528305712905,22.13470898065313,22.12991447217926,3.7402815713964473e6,3.7378520393368187e6,0.0183207732277495,0.041691749850926385
