t,H_m,gate_pu,Q_measured_m3s,Q_model_m3s,P_measured_MW,P_model_MW,rolling_RMSE_Q_m3s,rolling_RMSE_P_MW,rolling_REL_RMSE_Q_pct,rolling_REL_RMSE_P_pct,model_health,static_upward_headroom_MW,screening_fcr_MW,trusted_screening_fcr_MW
120.0,392.8107809959706,0.0,0.10286368026376319,NaN,-0.2316587769955442,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
121.0,392.8090966755294,0.0,0.10301462568487971,NaN,-0.2314779341643868,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
122.0,392.80589579813375,0.0,0.10301406302827779,NaN,-0.23179045866871723,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
123.0,392.8009595216035,0.0,0.10220071733489458,NaN,-0.23181679500335173,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
124.0,392.7974226517327,0.0,0.10243421982469361,NaN,-0.23145510934103677,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
125.0,392.7925227417611,0.0,0.1022830698011764,NaN,-0.2317009151309595,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
126.0,392.7890635143172,0.0,0.1019585192430658,NaN,-0.23196076696602055,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
127.0,392.7878141393095,0.0,0.10193335314777968,NaN,-0.23188175796211677,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
128.0,392.7845388898732,0.0,0.10150972387713006,NaN,-0.23234001018475853,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
129.0,392.7830465998545,0.0,0.10171744646444088,NaN,-0.232814064208181,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
130.0,392.7806303890784,0.0,0.10168486353212938,NaN,-0.23264902317780428,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
131.0,392.77783134271886,0.0,0.10175294498096235,NaN,-0.2325366548166968,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
132.0,392.77519154788604,0.0,0.10148542734204692,NaN,-0.2327403224712041,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
133.0,392.7738569853702,0.0,0.10219708564228215,NaN,-0.2324804706361429,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
134.0,392.7732376097333,0.0,0.10191146069090477,NaN,-0.2324506227902237,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
135.0,392.7735648049654,0.0,0.10221171471393221,NaN,-0.2320801583496972,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
136.0,392.7738871568425,0.0,0.10289063663005543,NaN,-0.23153938561186724,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
137.0,392.7723379304555,0.0,0.10195007939403693,NaN,-0.23137785609277517,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
138.0,392.77337259397734,0.0,0.10165688415383363,NaN,-0.23071769197126846,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
139.0,392.7748728312873,0.0,0.10184885235629053,NaN,-0.23037707537666133,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
140.0,392.7754608975542,0.0,0.10171892983184595,NaN,-0.23009439871825013,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
141.0,392.77714420627944,0.0,0.10202169023428197,NaN,-0.22975729363492753,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
142.0,392.7811124835,0.0,0.10226306991650795,NaN,-0.22893033272740174,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
143.0,392.7838403072869,0.0,0.10255406568090371,NaN,-0.22862483124564062,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
144.0,392.7851488894248,0.0,0.10290188976209394,NaN,-0.22849139381682546,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
145.0,392.78820721527796,0.0,0.1024008696333795,NaN,-0.22857567008765617,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
146.0,392.7889440963258,0.0,0.10131049228944831,NaN,-0.22851246288453317,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
147.0,392.7920309462226,0.0,0.10204199702255146,NaN,-0.22843696539191405,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
148.0,392.7950992894868,0.0,0.10291600732774224,NaN,-0.22869506147133292,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
149.0,392.7980432523393,0.0,0.10264429533961247,NaN,-0.22890575214840947,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
150.0,392.8008628306139,0.0,0.10326352450533142,NaN,-0.22950446482243547,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
151.0,392.8017677530268,0.0,0.10307027753787014,NaN,-0.22972217852208146,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
152.0,392.8033492473306,0.0,0.10262915476196066,NaN,-0.23009791022953474,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
153.0,392.8060937095455,0.0,0.10278905153810781,NaN,-0.230375319621019,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
154.0,392.81136968088384,0.0,0.1024301277766796,NaN,-0.23090906933627983,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
155.0,392.8166949742566,0.0,0.10272787542029847,NaN,-0.23111098123514498,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
156.0,392.8231926699434,0.0,0.10374843219499073,NaN,-0.2318659561613362,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
157.0,392.8249421323085,0.0,0.10396664065533742,NaN,-0.23211351770690117,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
158.0,392.8309684337918,0.0,0.10396694755893847,NaN,-0.23197832452244369,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
159.0,392.8367238026859,0.0,0.10364480107903612,NaN,-0.23200466085707824,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
